Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-8.22;0.07;-0.87;0.00;-0.87;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-7.30;-0.12;-0.85;0.00;-3.46;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_z;-8.52;0.14;-0.87;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;M_z;-7.91;0.00;-0.87;0.00;-1.74;-0.13;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.30;0.14;-0.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.52;-0.12;-0.87;0.00;-3.46;-0.13;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;;1.444;M_T;-1.30;0.00;4.39;0.00;2.80;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-1.30;0.00;4.33;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-1.34;0.00;4.74;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-1.30;0.00;4.74;0.00;3.70;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-1.34;0.00;4.33;0.00;-3.79;0.00;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_T;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;-2.10;0.00;5.54;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;-2.05;0.00;5.16;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-2.05;0.00;5.54;0.00;2.04;0.00;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-2.10;0.00;5.16;0.00;-6.39;0.00;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;N;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;-0.16;0.00;7.20;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;-0.16;0.00;7.24;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;-0.16;0.00;7.24;0.00;-4.39;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;-0.16;0.00;7.20;0.00;-5.48;-0.01;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;153;0.075;N;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;N;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_y;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_y;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_z;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_z;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_T;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_T;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_y;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_y;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_z;0.10;0.00;9.77;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_z;0.10;0.00;9.79;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;0.10;0.00;9.79;0.00;-5.73;0.00;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;0.10;0.00;9.77;0.00;-6.46;0.00;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;N;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;N;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_y;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_y;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_z;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_z;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.000;M_T;-8.06;0.06;0.88;0.00;0.88;-0.10;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_T;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_y;-7.15;-0.12;0.87;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;M_y;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;M_z;-8.37;0.13;0.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;M_z;-7.76;0.00;0.88;0.00;1.76;-0.13;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.15;0.13;0.88;0.00;3.50;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-8.37;-0.12;0.87;0.00;0.00;-0.13;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-17.65;0.00;-0.28;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-17.65;0.00;-0.28;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-16.28;0.00;0.27;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
